Tweet,Target 1,Stance 1,Opinion Towards,Sentiment,Tweet Id
"Sorry but if the worst thing in your life right now is being expected to wear a mask to help keep people alive, shut up and put it on, please.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@pregishuman @m_1 @luke_california @benshapiro Look a #COVIDIOT #TrumpDeathCult member. #resist the # # #  because they want to kill us all. @ @GovDox @SupervisorCox @SupFletcher @ToddGloria We need protection from the virus and domestic terrorists like anti mask guy. #COVID. #StaySafeStayHome,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Are we ever going to learn that my phone is a, and and won't recognize me when I have my mask on? But still...",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
"@MeredthSalenger These #KarensGoneWild are part of the reasons #COVID19 keeps getting worse, spreading more &amp; killing more..She thinks sheâs had it with the stupid, huh? I have bad news for those who think like her.....theyâre the stupid! #WearADamnMask #BeBetter #KindnessMatters",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@drmlb Why aren't all of the players wearing a mask?  Its not that complicated.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Another question...do the people wearing the masks below their nose know it is also going to their lungs?,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Hey Indianapolis folks who feel they donât need to mask: Did an @IMSox fans in the stands get your attention? Wear a damn mask and go.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@realDonaldTrump He's an expert, you're a failed president, and failed businessman (who bankrupted a casino!) so I'll go with Dr. Fauci.  The US has more cases due to your FAILURE to act, FAILURE to lead
#TrumpVirus #ImPOTUS #TrumpGolfsYouDie #Trump #Virus #PutinsGOP",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
"You wonât wear a mask? If I get it from you, and I pass it on to my elderly mum, youâre a dead man. #COVID19AB  #COVID19",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@D_ @RoyS @. So the foxtrot uniform charlie kilo at least I'm wearing a MF mask. I have plenty. Worry about your virus spreading ass who has no respect for the health of others. At least I respect my fellow American by wearing a mask. Do you? Good bye,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@NewsInformU Karen please wear your mask correctly and         # #. #StopItKaren,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
@RightWingWatch Not only did everyone in the church wear a mask ALL THREE PRESIDENTS in attendance wore masks too,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
LOTS of masks in the mall today. YAY!! @CornwallCentre @RealTenille,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
You'd think many people would be grateful for the # of  #    #covid19 ,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"I will be angry if I happily man ED wearing N95 entire day,,,,,/hr or +), hour shifts, sequester in hotel to protect #CHD 13yo daughter, tested 9x neg, all in last 6mo only to get #COVID19 from stranger w/o mask.  AL pls",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@OscarRLan @tadawes Ooh I get so angry when I wear a mask in 90 degree heat on my run and I walk past someone who cannot be bothered. #WearAMask #WearAMaskSaveALife,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@HL23 I was at @ShopprsDrugMart yesterday and the lady behind me was refused service for not having a mask, it was great! ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28E+18
"@CamScott353 @ThomasDixon1000 # this! Exactly this. 

What do the rich think the masks are for?! 

âI just had my appendix out. Crazy surgeon had some kind of mask fetish.â

:face_with_rolling_eyes:",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"I come from 6 months into the future and let me tell you all you looked really cute in your christmas themed facemasks.

#christmas #facemask #facecover",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"Hey so, something weird happened when I went to get my mums medication, some guy honked his car horn at me and gave me a thumbs up, is it because I was wearing a mask? #Covid_19 ",face masks,FAVOR,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",other,1.28E+18
"@Patriot59476447 @13WHAM The protesters in my town wear masks, just like everyone else I can't social distance. go to work.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"Hey folks, if you wear a mask I think: She has her reasons. So if I don't wear a mask, you think: She has her reasons.

It's called respect.
If we're not, we're all in trouble.

#MaskUp",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
@IAmHighOnHeels #Masks are important in the fight against #Covid_19 Come on!,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28E+18
@brewedup No i think the same thing. And that there are assholes. I dont want to take the chance of maybe causing someones death so i always wear a mask.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
"Iâm tired of hearing âI have asthma asthma���� excuse for not wearing a mask. 

One of our regulars, who comes in multiple times a week has asthma. Letâs call him Steve. He wears his mask EVERY DAY. 

He also only has ONE ONE LUNG. And he does not complain. 

Be like Steve.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
"Thanks for the great masks, @hvaleche @GreggPbc #MayorDaveKerner #RobertWeinroth #MaryLouBerger @voteMcKinlay @ @ # # you. Got mine today. You're saving lives!",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
Oahu folks: gotta say the Big Island is doing it a hell of a lot better than we are when it comes to wearing masks/using sanitizer,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
Don't be a COVIDIOT...,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
Man on train keeps removing mask to put his phone into hand. Man without mask has just got up and walked him with it... I despair for humanity :mask::sneezing_face: #COVIDIOTS #facecoverings,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Trumps cronies are now making it known that there is no negative to wearing a mask.. If he finally wears a mask and gets a mask its 3 months too late. You have already killed or permantly damanged half of of America (phys, financially and mentally) ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@FinchleyCentre1 Just a little, we do want you to wear masks if you can, and drop them off for our lovely deaf girl. So we was served by her.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@transman4trump @MikeLevin Agreed nothing is perfect, but donât let the perfect be the enemy of the good.  Bottom line, if we all wear masks, we are all much less likely to get sick.  Do your part.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
At first I thought the most ridiculous reaction to COVID19 was people panic buying toilet paper... I now see itâs the inability to wear a mask at the grocery store.  :mask:,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Daily reminder: every time you see a person without a mask outside, just that they're the reason this pandemic STILL isn't over yet...",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
I have seen 6 people within 30 minutes in my today who arenât wearing a mask :man_facepalming_medium-light_skin_tone:,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
#SHIFTIdaho is not âMask-Up Idahoâ I was out there for the weekend and it was absolutely disgusting. I only saw 2 employees wearing masks and MAYBE 20 people protecting those around them. #maskupidaho,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@SportsPassion @markasaxon Gee it's almost as if the MLB's efforts to safeguard players, coaches and officials from a highly contagious and deadly virus with no cure isn't actually working. #COVIDIOTS #TrumpVirus #StayAtHome",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
Made my first shop trip today in months (wearing mask). Literally no one else was wearing one.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.28E+18
"@HaileyHiggins @fox13 We cannot afford to be everyone. We cannot put those vulnerable in more more than we can reasonably mitigate. The simple, inexpensive, and mostly effective solution that can curb the virus spread is wearing a mask in public. Stay open and protect the vulnerable. ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28E+18
"@drsimone1 Instead of going on a right wing talk show and pushing dangerous ineffective compounds like air travelling,, just tell the truth. 

The best way to deal with Covid-19 isnât a drug.  Itâs not contracting it in the first place.",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
"Finally went out after thinking about it WAY back after the shutdowns. And Iâm very happy to report everyone in sight is wearing a mask, including face, and not a single person of mask. Still a little camera shy about being a, but I am encouraged.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"Good morning! Wear a mask when not at home, keep a minimum distance of 6 feet as best you can, and wash your hands frequently throughout the day.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@CianchetteJack @TeamTrump @Trump @Trump @LaraLeaTrump I see a lot of robust bellies, no masks, no life preservers. You can almost feel the covid thatâs inevitable. #COVIDIOTS",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Hubby is in the store with a load. He said NO ONE is wearing masks. Makes me sad that my home state canât get their act together. Makes me even more mad because thatâs where we caught #COVID19 back in March.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"There are rules, regulations and protocols in place for a reason. I am grateful for the scientists, doctors, nurses public other experts that are much smarter than me making these calls to stop the spread. I am happy to wear a mask if thereâs any chance it will protect others. It ���It is that simple",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"I used to laugh at people and call them babies when they complained about having to wear a mask in stores or at work. Now that I have a a,, I had to wear one 8 hours a day for a week:

I still laugh, and theyâre still crying.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@Hardees @ @ @,, I be a little bit to me that most of your employees in your Athens, GA store were not wearing masks!!! Care more about your customers!!! ## # # ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@katiestabuckeye1 @Sharman6642 @TheGoodLiars Not true. Also, there is currently a shortage in the US. Why are you trying to minimize this pandemic? People are dying every minute in this country because the federal government is leaderless and has politicized the one thing that could mitigate it.",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
"Let me get this straight: you want to not only fly right now, but have the audacity to not wear a mask. 
#COVID19 Iâm turning this plane around on YOUR MOTHER because yâall are acting like CHILDREN",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@MaureenKTVU @Thank you. Is there anyway to sue the @realDonaldTrump for not wearing his mask ever, or for the tax payers. #heshouldsentstandards #ohwaithedoesntlistentothedoctorsmybad",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"I live in a state with a Democratic governor, where masks in public places have been mandatory since at least November 1.  I shopped in 3 different stores today. Everybody was masked, and I didnât hear a single âbut muh freedums.â",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
What's with the no mask thing? Do you really think life saving health laws are arbitrary? Are you saying its okay for waiters to not wash their hands before handling your food? Get with it folks! Just WEAR THE DAMN MAS!!!,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Wearing a mask and social distancing doesn't mean you're ""living in fear."" It's like wearing a seat belt or using your headlights in the rain, it's for your safety and the safety of others.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
Just went to the gas station. The only person other than me wearing a mask was the cashier who was actually in a mask behind glass. I do't get it. The indifference is startling here.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@wsvn Itâs time the left to stop protesting &amp; having home parties, hotel parties, boat parties etc you see them posting all the parties on Social Media.",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
@PBS1982 @vividchi1 @Letrangerdalger @Revilopsa Your use of âDr Fartzyâ speaks volumes about you.  Doctors and nurses survive long hours in the medical profession.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@GovRonDeSantis @BrowardHealth @floridachannel Allow me to save you the time-hereâs what you     what to say -â...blah, blah blah, lower case numbers, blah, schools are fine, blerp, Trump calls me Eric, there have no state of mind, blerp.â                               #DeathSantis #DeSantisLiesFloridiansDie",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Whatâs wrong with people? Wear a mask and stay the heck away from others. It�����s pretty easy! #COVIDIOTS #COVID19 #StopTheSpread #FactsNotFear #COVID19Pand ,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"If you havenât been wearing a mask for the # ofirus yet, the air from the #Navyfire leaves you no choice. Air Quality right now is very mixed. The smell is definitely potent. It canât be good to take in and mess up the respiratory system now. #StayHome ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.28E+18
"@LukaGee55 And now there is a reason to wear a mask!!! 

    I to bask in the sun!",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"We've either had huge numbers die of whatever illness that prevented them from wearing masks or the campaign is working.  Very noticeable increase in compliance this morning in Limerick.

",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.28E+18
"Morning Rebels :sunrise_over_mountains: 
Im back to work full time. Back to telling people to cover their faces and back to telling people to #WearAMask # # # #. #WearAMaskSaveALife",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
If you donât wear a mask you ugly.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Iâm not religious but this little ditty popped into my head today... Maybe this will help those who claim to be âChristianâ with wearing a mask.
   âWear a mask and say your prayers because Jesus and Corona are everywhere.â  ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"In the midst of a pandemic that's already killed 60,000 in the UK, we need a formal medical exemption process around #Masks not just something you can do. This would protect the vulnerable who genuinely can't wear a mask and protect those who can DO.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"Also, you you you I I'm sure since you are refusing a mask you will refuse any vaccine that comes out. I would also appreciate it if you stay the fuck away.       and the hell away from me, my family and friends. # # you.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"If you donât care on wearing a mask, get the fuck out my streets. I����Im so done being polite about this",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@realDonaldTrump @realDonaldTrump Why is there no plan to stop or at least slow the spread? Mask mandates, shutting down to phase one in certain areas, something? Testing is great, but it doesn't slow the spread.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
"@1011ZNews So they're willing to incur legal fees a fine, and an eventual loss of business. Cool cool. Close the joint. 

#WearAMask",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@ashleysoudah @No1TennisMum @leannebarlow1 I wonât be going anywhere in the not too distant future then...unless travelling into town. Good luck without a #Facecovering,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@Theorossi @SOAMayanAddicts wear a mask! wear a mask! wear a fucking mask!!!!! his  - on his elbow, you couldnt write this shit show!    # # # #   #  ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@JoeBastard You know whats more uncomfortable than a mask? A tube on your fucking gut. ## # #.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"The people who say wearing a mask is ""living in fear"" are the same people who are afraid of sharing a public restroom with a transgender person. #COVIDIOT",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Morning Rebels :sunrise_over_mountains: 
Off to work I go 
#WearAMask #WearADamnMask",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@TheLalasventure @doqholliday @realDonaldTrump Houston really does have a problem at the moment, considering Mayor Turner has implemented fines if you don't wear a mask. Vote him out!
#Trump2Q2Q",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@ewarren @JillSchupp Where is your mask?,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"I have no idea if I look good in a mask. Even if I don't, I'm pretty sure I'd look worse wearing a mask mask than in a coffin.

",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@ArtfulDodgerXI @SenatorSinema Or.... you can wear a mask when going out and around other people!,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
people are so quick to be like millenial and geniuses that yet we are the ones ABIDING TO STOP THE SPREAD OF COVIDI. #rantover,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@RforRingmaster @ananavarro Where I live if you serve someone without a mask the business can be fined $9000 for each person. So your $7 coffee &amp; donuts do not compensate the business for the risk of that loss.,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
@martingeddes I did contemplate my mask and I wear especially when I travel just to wear them!!!,face masks,FAVOR,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg,1.29E+18
@Constance8News Iâm so confused. Why is wearing a mask so hard?,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@Constance8News So very sorry for your loss. I hope anti-maskers will get the message that masks do help save lives.
#WearAMask",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@Rothwella1 I totally agree with you. I am in a bubble with my mum and dad now, who are still not and just as vulnerable, but will not take any chances as I am doing their shopping, etc.   #SaveLives ",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1.28E+18
"Hey @ @BBot! Please tell me you wear a mask! Everyone, even Bots have a responsibility to help slow the spread of Covid-19.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@Mystical07623203 @D__1 @Liberty13046 130,000 families know who has it. Another 100,000+ are hospitalized. I suppose you think they're all being paid for by Soros and the Clinton foundation. ",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28E+18
"@CBCAlerts So let's teach every child across this country how to be safe. Teachers, staff and students need should learn how to wear masks, space appropriately and wash hands correctly. It shouldn't be a choice. #WearAMask #WearYourMask",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@Kr8cky @ @  Yes I did...

And it was at least 107Â° in #Tucson today

-And anyone outside the house can kiss my a** if they aren't wearing a mask ""because it is too hot"" 
      #Arizona #coronavirus",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@ProjectLincoln I suppose there's a chance he is.. He hasn't hit refresh since April. His staff just found a good poll and made it his screensaver. #TrumpVirus #WeakPresident,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
"@elmoet Happy birthday :clinking_glasses::birthday:
#WearAMask",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@CNN @WritesMore Guess they were too busy watching @FoxNewsSunday to have seen the video of the man who refused't wear a mask, tested positive, died with regret over his poor decision. ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
Yo @Tesco did your staff in #Dundee retail park get an outing from the asthmatics teenagers institution or were the 100+ teenagers and young adults shopping maskless at 1030pm today just terrible people with stupid oblivious parents?  #WearAMask,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@Rep_SantaCruz @hossehenad @tedcruz @AmericanAir YIKES! @AmericanAir is usually my preference. 
Hard N.O. If they do't,, they they to enforce a mask wearing policy! 
",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.28E+18
"Mask dont serve a porpoise. 
Keep Patriots out of harms way.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@jybern @Fickster69 @Adrieliam @SMSCats2 @D_1 @TedToddAgency @CharleyTodd @c You're not a ""bad person"" necessarily... you're just... oh, tragically... not too smart. Too easily larped. This isn't D&amp;D... a spell won't save you. Herman Cain didn't wear a mask, and he's all dead. Don't be like #HermanCain.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Dear Entitled White Women - Wear. A. Fucking. Mask. You are an embarrassment to white women who actually give a shit about all humans. No matter your skin color, sexual orientation, religion, or origin.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@KellyannePolls The longer your boss and the GOP pushes not wearing a mask the longer this virus will linger and weâll all suffer and STILL HAVE TO WEAR A MASAN.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@hillarywillbern @Adrieliam @SMSCats2 @Ted_1 @TedToddAgency @CharleyTodd That's right! @Adrieliam is judging and shaming people who don't wear masks! It endangers his life! Exactly! Now Ms Karen Larp...is that so hard? :grin: Go reward yourself with some cake!,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Letâs get something straight: no one is comfortable wearing a mask. Iâ���¦ I wake up every morning morning to cover my face, but I do it anyways b/c itâs the right thing to do for myself and those around me. Just get with it, @##.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
When people say âBased on your viewâ about wearing masks means âI don a   I don't give a flying f*ck about your viewâ. #entitled,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@acapri74 @mkraju @ChuckRossDC For the periodth time, masks protect others from YOU, not the other way around. If thatTb guy had worn a mask he wouldnât have spread it to others. Why is this so fucking hard for Americans to understand????",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@JoeBravoWSOC9 We can't have nice things, because we dont wear masks and follow the rules.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@UncloedPatricia @realDonaldTrump I I AGREE with above and also..... The UNITED STATES CITIZENS Deserve and Demanded testing so that they would know if they were sick to that could get treatment and PROTECT their loved ones and ALL AMERICANS.,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
"@SaraMulcahy1 @SnowinginFL @HKrassenstein @realDonaldTrump Yes, it does, a positive test without symptoms (Asymptomatic) can &amp; has been proven to spread the virus. This isThe importance of wearing  masks, so you dont unknowingly spread the virus.   . 
#COVID19",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"I am 60 and I wear a mask.

My mom is 89 and she wears a mask.

Don't tell me you are too old to wear a mask.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@Constance8News I'm so sorry for your loss, prayers and condolences go out to you &amp; your family. Lost my cousin to covid-19 day before yesterday, so I understand. People are dying as result of stupid people not wearing a mask. This is not a joke/hoax!!!!",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@TVsCarlKinney2 Tbh, I'll be far less scared than I am now. 

I'm diabetic, and the general public are not taking this pandemic seriously enough for me to feel safe outside.

I've apparently a one in ten chance of dying if I catch Covid, so that honestly sounds ideal.",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
"Me: No masks are very mantatory

#DearCustomer : I don't have to wear one because I'm a selfish inconsiderate jerk!

(or maybe that's just what I think)",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@camstewarttheoz â...believing your ârightâ not to wear a mask was more important than killing innocent people.


He did everything he was supposed to do and you did not.

Shame on all of you and may Karma find you all.â

:pensive:

#Covid19
#Coronavirus",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@RunByClowns @Revegelance @luvadergolder @mark_dowling @NeilClark66 @ is Yes. Relative risk management. Masks required now. Do the decent thing and wear one. Itâs no big deal really, I have to wear one every day at work work and it also protect the most vulnerable from covid19",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
