Tweet,Target 1,Stance 1,set,Target ori
entrapment is sneaky and encourages criminals to engage in activity they may otherwise not consider therefore it should never be legalized.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment is sometimes a necessary tool to get the needed proof of criminal activity.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment is sometimes the only means possible to capture a diehard criminal.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment is sometimes the only way to catch sly criminals,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment is sometimes the only way to catch someone,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment is the most effectively way to clearly identify a person committing a crime by catching them in the actual act and should be legalized.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment is unethical as it is tricking a person into committing a crime that may have not occurred otherwise.,Entrapment,AGAINST,train,Entrapment should be legalized
"entrapment is unfair and manipulative, they may not ever have committed a crime had they not been manipulated into it",Entrapment,AGAINST,train,Entrapment should be legalized
entrapment is unfair and often has the wrong results.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment is unfair and often tempts people into committing crimes they normally would not have,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment is unfair and startles drivers at the last minute.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment is unfair and uses low and unfair tactics to trick people into committing crimes.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment is unfair to people who would not otherwise commit crimes it should remain illegal,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment is unfair to the person involved.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment is useful in catching criminals and preventing crimes in future.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment is wrong and inducing person to do the crime from state agents is just wrong.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment is wrong and should be illegal,Entrapment,AGAINST,train,Entrapment should be legalized
Entrapment is wrong because it infringes on civil rights.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment is wrong because it turns non-criminals into criminals.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment is wrong because we don't know if they would have committed a crime if it wasn't for the officers making it easier to do the crime,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment is wrong since a person is almost coerced into committing a crime. it's cruel and wrong to trick a person into committing a crime.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment isn't right because tricking someone into a situation just promotes dishonesty.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment just encourages criminal activity that may not have otherwise have occurred,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment leads to police abuse or to extort citizens,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment makes it easier to catch criminals,Entrapment,FAVOR,train,Entrapment should be legalized
"entrapment makes it easier to catch criminals and therefore, makes society safer.",Entrapment,FAVOR,train,Entrapment should be legalized
entrapment may cause people to commit crimes that they would otherwise not commit.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment may coerce people into doing something they would not normally do without coercion,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment may lead desperate people to commit crimes they otherwise wouldn't have done,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment may lead to people committing crimes that they would otherwise not have committed.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment might be what gets someone to commit a crime who hasn't decided to do it,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment only entangles those that were looking to commit a crime and stops them before they do it,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment only works if someone has already decided to commit a crime,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment prevents the carrying out of crime and is a viable way of detecting lawbreakers,Entrapment,FAVOR,train,Entrapment should be legalized
"entrapment sets people up to fail and is simply, unfair.",Entrapment,AGAINST,train,Entrapment should be legalized
entrapment should be allowed to help police in tackling crime.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be considered as legal as giving huge benefit for safe and secure society.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be illegal because law enforcement might force an alleged perpetrator into a crime he may not be willing to commit in the first place.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment should be illegal because the person might not of done anything illegal but they may have been tricked into it and using this as a defence will not be strong enough.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment should be illegal because they are convincing someone to commit a crime that they may not have committed without being cohersed into it.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment should be legal because if the person was going to do something illegal in the entrapment they was going to do it anyway and therefore should still be prosecuted.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legal because it catches criminals that were already looking to commit the crime anyway.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legal because it is a good way to ensure that a criminal is caught and prosecuted.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legal if it helps keep criminals off the street and from committing more crimes. the individuals affected by entrapment are usually those who are criminals anyway.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legal if the perpetrator is wanted badly enough.,Entrapment,FAVOR,train,Entrapment should be legalized
"entrapment should be legal since the person was willing to do the illegal deed. they didn't know they were being entrapped, they thought they were really committing a crime.",Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalised if it keeps prostitution off the streets,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalize because it can stop possible future criminals because if you can trick them into doing it there is a chance they would've done it in the future with worse consequences.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized as enables the police to capture criminals,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized as it gives a clear insight into how a person would respond in certain situations and their attitude towards breaking the law.,Entrapment,FAVOR,train,Entrapment should be legalized
Entrapment should be legalized as it is a useful tool to catch criminals when other strategies have failed.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized as it may be the only way of compiling evidence in order to solve a crime.,Entrapment,FAVOR,train,Entrapment should be legalized
"Entrapment should be legalized because better evidence leads to shorter trials, which means less time spent in jail for the accused before trial.",Entrapment,FAVOR,train,Entrapment should be legalized
"entrapment should be legalized because in some cases, it's the only way to verify that criminal activity is taking place.",Entrapment,FAVOR,train,Entrapment should be legalized
"Entrapment should be legalized because it can be used in a responsible way, even if it hasn't always been in the past.",Entrapment,FAVOR,train,Entrapment should be legalized
"Entrapment should be legalized because it can be used in ways that are not abusive, like a police-run ""to catch a predator.""",Entrapment,FAVOR,train,Entrapment should be legalized
"entrapment should be legalized because it can be useful to weed out all the criminals. if you are entrapped, your true self will show if you commit a crime.",Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized because it can help stop would be criminals,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized because it catches out people who have done wrong,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized because it gets a lot of the bad guys off the streets,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized because it helps a lot of police officers close their cases,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized because it helps catches criminals and puts them behind bars.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized because it is a way to catch potential criminals,Entrapment,FAVOR,train,Entrapment should be legalized
Entrapment should be legalized because it is arbitrary to ban this one type of evidence.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized because it will help us catch more criminals who will commit crimes if someone pushes them slightly,Entrapment,FAVOR,train,Entrapment should be legalized
Entrapment should be legalized because it would allow police to go after known criminals for otherwise difficult to prove acts.,Entrapment,FAVOR,train,Entrapment should be legalized
"entrapment should be legalized because no matter what, a person should be smart enough to always do the right thing.",Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized because people are getting away with heinous acts that could be prevented.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized because people need to learn to obey the law at all times.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized because people should be aware at all times and only obey rules when law enforcement is in site.,Entrapment,FAVOR,train,Entrapment should be legalized
Entrapment should be legalized because regulating it is better for the justice system than banning it outright.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized because sometimes this tactic is the only way to apprehend repeat offenders.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized because that is the only way to catch bad people,Entrapment,FAVOR,train,Entrapment should be legalized
Entrapment should be legalized because the mens rea is present despite the entrapment.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized because the only people in the position of becoming entrapped are criminals anyway. it keeps more criminals from committing more crimes.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized in order to catch pedophiles,Entrapment,FAVOR,train,Entrapment should be legalized
Entrapment should be legalized in order to make people more wary of breaking the law.,Entrapment,FAVOR,train,Entrapment should be legalized
Entrapment should be legalized in order to preserve police resources and prosecute criminals more efficiently.,Entrapment,FAVOR,train,Entrapment should be legalized
"Entrapment should be legalized in order to specifically go after people who target children or other vulnerable groups, who would be hard to catch otherwise.",Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized since it is fun.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized since it is one of the best ways to catch a criminal in the act,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized since people trying to bad things should be punished just like people that are actually doing bad things.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should be legalized some people need to feel the power of entrapment.   this is always not the case but certain individuals require entrapment because of the way they live their lives.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment should not be allowed as it entices people to act in an unnatural way as a result of enticements of the police,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment should not be legalised if it induces a person to commit a crime that they would have otherwise been unlikely to commit,Entrapment,AGAINST,train,Entrapment should be legalized
Entrapment should not be legalized as it forces people into unnatural situations that mean they behave in an unnatural way which does not necessarily prove guilt.,Entrapment,AGAINST,train,Entrapment should be legalized
Entrapment should not be legalized as it is an unfair way of dealing with people and puts them into false situations.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment should not be legalized as it is not an honest way of keeping people honest.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment should not be legalized as the poice will have a detailed knowledge of the law and therefore how to persuade others to break it in order to gain the conviction.,Entrapment,AGAINST,train,Entrapment should be legalized
"entrapment should not be legalized because if you have to trap a person to catch them doing wrong, then the enforcement team is not doing a very good job as people are breaking the law constantly.",Entrapment,AGAINST,train,Entrapment should be legalized
Entrapment should not be legalized because it creates an imbalance in favor of prosecutors.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment should not be legalized because it gives too much power to certain people such as those who are working law enforcement.,Entrapment,AGAINST,train,Entrapment should be legalized
Entrapment should not be legalized because it is inducing someone to commit a crime they might not have committed otherwise.,Entrapment,AGAINST,train,Entrapment should be legalized
"Entrapment should not be legalized because it is not necessary for the police to do their job, so we should defer to not infringing on people's freedom by entrapping them.",Entrapment,AGAINST,train,Entrapment should be legalized
entrapment should not be legalized because it is trapping others against their will and that is wrong.,Entrapment,AGAINST,train,Entrapment should be legalized
Entrapment should not be legalized because it is unethical to promote unethical behavior.,Entrapment,AGAINST,train,Entrapment should be legalized
Entrapment should not be legalized because it leads to over-policing of certain neighborhoods at the expense of others.,Entrapment,AGAINST,train,Entrapment should be legalized
Entrapment should not be legalized because it will lead to court clog as more cases are brought forward.,Entrapment,AGAINST,train,Entrapment should be legalized
Entrapment should not be legalized because it will lead to many false convictions.,Entrapment,AGAINST,train,Entrapment should be legalized
Entrapment should not be legalized because police will focus on easy convictions rather than finding other criminals.,Entrapment,AGAINST,train,Entrapment should be legalized
Entrapment should not be legalized because police will use it to target African Americans and other minority groups.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment should not be legalized because some police would take advantage of it,Entrapment,AGAINST,train,Entrapment should be legalized
"Entrapment should not be legalized because the criminal justice system does not have a problem getting convictions, but rather there are too many convictions.",Entrapment,AGAINST,train,Entrapment should be legalized
entrapment should not be legalized because there are crooked cops and they would use it unnecessarily,Entrapment,AGAINST,train,Entrapment should be legalized
Entrapment should not be legalized because there is no way to know if someone would have committed the crime without police involvement.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment should not be legalized because there will be an absue of such power and just about anyone can be arrested.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment should not be legalized because you are unfairly goading someone into committing a crime that they otherwise might not commit.,Entrapment,AGAINST,train,Entrapment should be legalized
Entrapment should not be legalized. It just take in consideration one fault one could has made to make one's the culprit. It is deceitful,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment shouldn't be legal because it allows a person who otherwise would have never committed a crime to be coerced into it.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment shouldn't be legal because it forces people into uncomfortable situations and can put truly innocent people in prison because of a choice they were forced to make because a cop tricked them.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment shouldn't be legalized because a lot of times it leads to false confessions from people.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment shouldn't be legalized because is importa the movilization in society of people,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment shouldn't be legalized because it is immoral to trick someone into committing a crime,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment shouldn't be legalized because it may end up getting wrong people in trouble,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment shouldn't be legalized because the people not working normal,Entrapment,AGAINST,train,Entrapment should be legalized
"Entrapment targets individuals who otherwise wouldn't be disposed to committing crimes, which is both a waste of policing resources, and, if they are convicted, a waste of resources in punishing those individuals.",Entrapment,AGAINST,train,Entrapment should be legalized
entrapment undermines the judicial process.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment violates fundamental human rights and leads to false prosecutions of otherwise innocent people and should  be banned.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment violates our civil rights.,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment will allow the authorities to arrest those with inclination towards crime and wrongdoing making society safer as a whole,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment will help convict more criminals which will also prevent crime by making people think twice before doing it.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment would be a good way of bringing criminals to book sooner rather than later.,Entrapment,FAVOR,train,Entrapment should be legalized
entrapment would be use to arrest people and especially people of color who otherwise would have never done a crime and would be used for quota's and prison occupancy,Entrapment,AGAINST,train,Entrapment should be legalized
entrapment would make it a lot easier to catch criminals,Entrapment,FAVOR,train,Entrapment should be legalized
entrpament allows the police to catch people who they strongly suspect are involved in crimes that are ordinarily difficult to detect,Entrapment,FAVOR,train,Entrapment should be legalized
enttrapment should be legalized because sometimes that is the only way to catch the bad guys,Entrapment,FAVOR,train,Entrapment should be legalized
eradicate the detection field of guantánamo bay.,Guantanamo Bay detention camp,FAVOR,train,We should close Guantanamo Bay detention camp
escalating cases of mass shootings mean it is time for drastic change and we need to abolish the right to keep and bear arms.,arms,FAVOR,train,We should abolish the right to keep and bear arms
escr is morally unacceptable to some people,stem cell research,AGAINST,train,We should subsidize embryonic stem cell research
"european countries, for their part, tended to consider patent rights as monopolistic.",property rights,FAVOR,train,We should abolish intellectual property rights
even a little self-interest will cause collectivism to fail. it goes against human nature.,collectivism,FAVOR,train,We should oppose collectivism
"even after the civil rights movement, minorities are treated unfairly, so affirmative action helps to level the playing field a little bit.",end action,AGAINST,train,We should end affirmative action
"even if a naturopath treatment  may not have a lot of info on it, it still might work for the person being prescribed it.",ban naturopathy,AGAINST,train,We should ban naturopathy
even if abolished guns will still exist. you'd never be able to find every gun and confiscate them. now the only people with guns would be criminals who have untraceable weapons.,arms,AGAINST,train,We should abolish the right to keep and bear arms
"even if all people are qualified, affirmative action comes from the perspective that women or minorities are “inferior” to white men, which promotes a superior attitude from the majority class.",end action,FAVOR,train,We should end affirmative action
"even if countries say they are eliminating nuclear weapons, we need to have our ready in case the other countries lied.",abolition weapons,AGAINST,train,We should fight for the abolition of nuclear weapons
"even if guns fall into the wrong hands, law abiding citizens should be allowed to protect themselves in whichever manner they feel safest with.",arms,AGAINST,train,We should abolish the right to keep and bear arms
"Even if individuals get divorced, the harms of an unsuccessful marriage are no worse inherently than the harms of ending a long term relationship, and therefore there is no pragmatic reason to abandon marriage.",abandon marriage,AGAINST,train,We should abandon marriage
"Even if nations were able to survive a nuclear war, they resulting nuclear fallout and climate change would likely make life on Earth difficult for centuries to come, dooming future generations.",abolition weapons,FAVOR,train,We should fight for the abolition of nuclear weapons
"even if only marginally profitable, whaling can provide several hundred jobs in areas of high unemployment.",ban whaling,AGAINST,train,We should ban whaling
"even if people don't identify with the traditional language, they still fit into one of the 2 categories so we should not be complicating things further by adding third or fourth or even fifth choices",language,AGAINST,train,We should adopt gender-neutral language
"Even if someone is fooled into committing a crime, in action and in principle they have still freely violated the law and should be punished.",Entrapment,FAVOR,train,Entrapment should be legalized
"Even if states are responsible, the existence of nuclear weapons means they can potentially be exploited by terrorist organizations who infiltrate or steal from the state.",abolition weapons,FAVOR,train,We should fight for the abolition of nuclear weapons
"Even if the government doesn't gain influence over the reported news, the perception that it does will increase public distrust and prevent journalists from doing their job.",journalism,AGAINST,train,We should subsidize journalism
"even if we continue to develop, wouldn't have to roll them out until they were fully safe",stop development cars,AGAINST,train,We should stop the development of autonomous cars
"even if we did find a cure, big pharmaceutical companies would probably drive the price up to ridiculous amounts anyway.",stem cell research,AGAINST,train,We should subsidize embryonic stem cell research
"even if we have some regulations guns are always going to fall into the hands of those who wish to do harm, it is better to ban them outright.",arms,FAVOR,train,We should abolish the right to keep and bear arms
"Even if you are convicted of a crime because of entrapment, your intention existed to commit a crime, and when determining guilt and punishment intention is ultimately the most important factor.",Entrapment,FAVOR,train,Entrapment should be legalized
"Even if you believe that people should be able to speak publicly no matter their view, those same people are not entitled to speak in any particular public sphere, and therefore safe spaces don't violate rights.",spaces,AGAINST,train,We should abolish safe spaces
"Even in today's world pay inequality is a fact and this means that dad's cannot afford to stay at home, a subsidy is essential to allow dads the same opportunity as mums.",dads,FAVOR,train,We should subsidize stay-at-home dads
Even just testing out nuclear weapons is incredibly bad for the environment and people / animals living in it.,abolition weapons,FAVOR,train,We should fight for the abolition of nuclear weapons
even minors have the right to bodily autonomy and should be allowed to decide for themselves whether to have cosmetic surgery.,ban surgery minors,AGAINST,train,We should ban cosmetic surgery for minors
"Even one accident from a nuclear weapon going off unintentionally would cause massive damage, and this is damage that we should not accept the risk of as a society.",abolition weapons,FAVOR,train,We should fight for the abolition of nuclear weapons
"even simple nuances in our language like ""police man"" instead of ""police officer"" subtly infer that men are the default, we need to make changes to reverse this.",language,FAVOR,train,We should adopt gender-neutral language
Even the appearance of control through subsidies destroys the credibility of newspapers.,journalism,AGAINST,train,We should subsidize journalism
Even the optics of bias due to funding could undermine Wikipedia's purpose.,Wikipedia,AGAINST,train,We should subsidize Wikipedia
"even though there have been instances of accidents, the technology is constantly improving. to stop development now would be counter productive.",stop development cars,AGAINST,train,We should stop the development of autonomous cars
"Even when entrapment occurs, people are not forced to commit crimes and are still acting on their own volition, meaning it can be used to lure out predators in the community.",Entrapment,FAVOR,train,Entrapment should be legalized
"Even with high rates of divorce, married couples and the children of married parents ultimately have more stable and emotionally healthy lives than their unmarried counterparts.",abandon marriage,AGAINST,train,We should abandon marriage
"Even without entrapment, police are able to do things such as sting operations or undercover investigations, so long as they don't provoke the committing of a crime, which can target and bring down crime syndicates.",Entrapment,AGAINST,train,Entrapment should be legalized
eventually we will need to seek out other planets to settle on in cases of emergency,space exploration,FAVOR,train,We should subsidize space exploration
every child has a right to be born regardless of their gender so sex selection should not be legalized.,sex selection,AGAINST,train,We should legalize sex selection
"every child should go to a proper school, home schooled children do not receive adequate education",,FAVOR,train,Homeschooling should be banned
every citizen has the right to burn the flag according to the bill of rights,prohibit flag burning,AGAINST,train,We should prohibit flag burning
"every company wants the best, most talented executives, and their compensation package determinies whether or not they are able to hire the best.",limit executive compensation,AGAINST,train,We should limit executive compensation
every country should have weapons to defend themselves against possible attacks.,abolition weapons,AGAINST,train,We should fight for the abolition of nuclear weapons
every country talking about peace and at the same time building and producing more nuclear weapons which should be stopped and  only way for that is abolition.,abolition weapons,FAVOR,train,We should fight for the abolition of nuclear weapons
every couple deserves a chance for biological children and barring surrogacy will crush many dreams,Surrogacy,AGAINST,train,Surrogacy should be banned
every crime is committed for a different reason.  the judicial system needs to be able to take these circumstances into consideration for each individual case.,limit activism,AGAINST,train,We should limit judicial activism
every government in the world should and must fight for affirmative action because helping people affected by discrimination.,end action,AGAINST,train,We should end affirmative action
every human being should have equal chance in everything and opposing collectivism should be followed.,collectivism,FAVOR,train,We should oppose collectivism
every individual should be able to choose whether or not they want to vote,compulsory voting,AGAINST,train,We should introduce compulsory voting
every journalist should be able to report the news regardless of whether they have the monetary means to do so or not.,journalism,FAVOR,train,We should subsidize journalism
every judge is trusted to give their own interpretation of the constitution; there is no way to prevent implicit biases from coming up in their decisions.,limit activism,AGAINST,train,We should limit judicial activism
"every one has the right to choose what they want to do with their bodies, it isn't in our place to decide if cosmetic surgery is bad for minors.",ban surgery minors,AGAINST,train,We should ban cosmetic surgery for minors
every parent has a right to homeschool their children in these times where there are far to many school shootings.,,AGAINST,train,Homeschooling should be banned
every parent should have the choice to what sex they want for their kids.,sex selection,FAVOR,train,We should legalize sex selection
every person has a right to their bodily autonomy whether or not we like it.,ban surgery minors,AGAINST,train,We should ban cosmetic surgery for minors
"Every person should be free to decide what lifestyle best fits him, it is not one size fits all.",legalize polygamy,FAVOR,train,We should legalize polygamy
"every species has to be part of a larger ecosystem.   if we have too many whales relative to their food sources, we have to either increase their food or reduce their population.",ban whaling,AGAINST,train,We should ban whaling
"Every system has its failings, but overall people involved in foster care are loving, devoted individuals with the children's best interests in mind.",Foster care,AGAINST,train,Foster care brings more harm than good
every young person deserves to have somewhere to go where they can freely express themselves without fear of retribution or ridicule.,spaces,AGAINST,train,We should abolish safe spaces
everybody deserves a fair chance at a particular job.,end action,FAVOR,train,We should end affirmative action
everybody deserves the right to an education,education,FAVOR,train,We should subsidize vocational education
everybody has a option to choose what`s wont to be and supporting pride parades are obligatory for all us living in democracy.,cancel pride parades,AGAINST,train,We should cancel pride parades
everybody has the responsibilty to give their opinion on what happens in their country,compulsory voting,FAVOR,train,We should introduce compulsory voting
everybody has the right to do what they want,ban use child actors,AGAINST,train,We should ban the use of child actors
everybody has the right to freedom of speech and expression,cancel pride parades,AGAINST,train,We should cancel pride parades
everybody in this country deserves to be treated equally.,language,FAVOR,train,We should adopt gender-neutral language
everybody is entitled to an opinion and everybody has different ones. it isn’t fair to punish someone based on something other than the law.,limit activism,FAVOR,train,We should limit judicial activism
everybody should be free to use anyone else's intellectual property. otherwise it's not a free country,property rights,FAVOR,train,We should abolish intellectual property rights
everybody should be made to vote because the who populations views need to be registered,compulsory voting,FAVOR,train,We should introduce compulsory voting
everybody should have a right to decide when the person wants and  can afford to retire.,end mandatory retirement,FAVOR,train,We should end mandatory retirement
"everybody should have the right to do what they choose to their own bodies, and naturopathy has its place, if only as a placebo.",ban naturopathy,AGAINST,train,We should ban naturopathy
"everybody, including minors, should have access to cosmetic surgery which help with self confidence",ban surgery minors,AGAINST,train,We should ban cosmetic surgery for minors
everyone can rise to the top on their own merits so we should end affirmative action as it promotes prejudice.,end action,FAVOR,train,We should end affirmative action
everyone deserves a chance at a higher education without much worry on costs,student loans,FAVOR,train,We should subsidize student loans
everyone deserves a chance of a good education even if they can not afford the schooling.,student loans,FAVOR,train,We should subsidize student loans
everyone deserves to be celebrated for their consistent hard work and special efforts,limit executive compensation,AGAINST,train,We should limit executive compensation
everyone deserves to be safe and has the right to safety.,spaces,AGAINST,train,We should abolish safe spaces
everyone has a right to celebrate and show pride.  otherwise it would be discrimination.,cancel pride parades,AGAINST,train,We should cancel pride parades
everyone has a right to make this choice,ban surgery,AGAINST,train,We should ban cosmetic surgery
everyone has a right to vote and to not vote if they don't want to.  if someone doesn't think any of the candidates are capable then they shouldn't be forced to put them in office.,compulsory voting,AGAINST,train,We should introduce compulsory voting
everyone has a say at who is voted in and who is voted out.,compulsory voting,FAVOR,train,We should introduce compulsory voting
everyone has opinions about themselves and should be in control of how they treat their bodies,ban surgery,AGAINST,train,We should ban cosmetic surgery
everyone has the right to abstain based on how they feel they are able to vote on a topic,compulsory voting,AGAINST,train,We should introduce compulsory voting
everyone has the right to alter their bodies or appearances in which ever way makes them feel comfortable and at ease.,ban surgery,AGAINST,train,We should ban cosmetic surgery
everyone has the right to be who they are.,cancel pride parades,AGAINST,train,We should cancel pride parades
everyone has the right to be who they want to be and the government has no right to prevent that.,sex selection,FAVOR,train,We should legalize sex selection
"Everyone has the right to bodily autonomy. If a person chooses to sell his or her body for sex, it should not be illegal.",prostitution,FAVOR,train,We should legalize prostitution
everyone has the right to choose what to do with their own bodies,ban surgery,AGAINST,train,We should ban cosmetic surgery
everyone has the right to develop their maximum potential regardless of whether they are children or adults.,ban use child actors,AGAINST,train,We should ban the use of child actors
everyone has the right to do with their bodies what they see best as long as it does not harm another person,ban surgery minors,AGAINST,train,We should ban cosmetic surgery for minors
everyone has the right to have pride parades.,cancel pride parades,AGAINST,train,We should cancel pride parades
everyone has the right to their own beliefs and lifestyle choice and no one should be able to say that homosexuals should not celebrate their homosexuality.,cancel pride parades,AGAINST,train,We should cancel pride parades
everyone has the right to treat their body as they wish and cosmetic surgery is a form of this right,ban surgery minors,AGAINST,train,We should ban cosmetic surgery for minors
"everyone in this country have a freedom of choice, including minors. if they want to do the surgery so be it.",ban surgery minors,AGAINST,train,We should ban cosmetic surgery for minors
"Everyone is capable of being reformed, but that is impossible with the death penalty.",capital punishment,FAVOR,train,We should abolish capital punishment
everyone is entitled to chose how to not just live but also end their life.,offence,AGAINST,train,Assisted suicide should be a criminal offence
everyone is entitled to his opinion.,limit activism,AGAINST,train,We should limit judicial activism
"everyone is free to decide what they want to do with their life, that includes what you eat, if you teach children to eat vegetables, fast food would not be business.",ban food,AGAINST,train,We should ban fast food
"Everyone must have the right to defend themselves, their families and their property, more and more criminals are carrying guns and if homeowners do not have them they are defenceless",arms,AGAINST,train,We should abolish the right to keep and bear arms
everyone needs a place where they can be accepted without judgment.,spaces,AGAINST,train,We should abolish safe spaces
everyone needs a place where they feel safe,spaces,AGAINST,train,We should abolish safe spaces
"everyone needs to be responsible for themselves, to have the right to make all their own decisions and set their own values. groups should not be allowed to tell them what to do.",collectivism,FAVOR,train,We should oppose collectivism
everyone needs to die at some point and embryonic cell research will mainly be used to help the rich.,stem cell research,AGAINST,train,We should subsidize embryonic stem cell research
everyone needs to work hard to get what they want.,end action,FAVOR,train,We should end affirmative action
everyone no matter of race should be treated equal.,profiling,FAVOR,train,We should end racial profiling
"everyone should be able to bear arms in order to protect themselves, their homes and their families.",arms,AGAINST,train,We should abolish the right to keep and bear arms
everyone should be able to choose what happens to them including when to die so it shouldn’t be a criminal offence to  help with that.,offence,AGAINST,train,Assisted suicide should be a criminal offence
everyone should be allowed to celebrate who they are and bring understanding to others,cancel pride parades,AGAINST,train,We should cancel pride parades
everyone should be allowed to have the option to improve their appearance.,ban surgery minors,AGAINST,train,We should ban cosmetic surgery for minors
everyone should be free to do whatever they want,prohibit flag burning,AGAINST,train,We should prohibit flag burning
"everyone should be free to use any type of medicine to cure their illnesses - it is not for legislation to dictate what they should do , that would be a violation of their right to freedom.",Homeopathy harm good,AGAINST,train,Homeopathy brings more harm than good
everyone should be required to vote to make sure that people who are elected are chosen by the majority.,compulsory voting,FAVOR,train,We should introduce compulsory voting
everyone should get a free university education rather than a vocational degree,education,AGAINST,train,We should subsidize vocational education
"everyone should have a chance to celebrate their culture, gay culture included.",cancel pride parades,AGAINST,train,We should cancel pride parades
"everyone should have a choice about what they want to do with their bodies, and if selling an organ is one of them, they should be free to decide.",trade,FAVOR,train,We should legalize organ trade
everyone should have a right to be happy.,ban surgery,AGAINST,train,We should ban cosmetic surgery
everyone should have full autonomy over their bodies regardless of age,ban surgery minors,AGAINST,train,We should ban cosmetic surgery for minors
